 x_1         f_x1     grad_x1       x_1_step   
4.43705e-01  1.33111e+00  3.00000e+00  1.02171e-04  
4.43457e-01  -4.43457e-01  -1.00000e+00  2.48016e-04  
4.43286e-01  -4.43286e-01  -1.00000e+00  1.71341e-04  
4.43183e-01  1.32955e+00  3.00000e+00  1.02171e-04  
4.42935e-01  -4.42935e-01  -1.00000e+00  2.48021e-04  
4.42764e-01  -4.42764e-01  -1.00000e+00  1.71343e-04  
4.42662e-01  1.32799e+00  3.00000e+00  1.02171e-04  
4.42414e-01  -4.42414e-01  -1.00000e+00  2.48026e-04  
4.42243e-01  -4.42243e-01  -1.00000e+00  1.71345e-04  
4.42140e-01  1.32642e+00  3.00000e+00  1.02171e-04  
4.41892e-01  -4.41892e-01  -1.00000e+00  2.48031e-04  
4.41721e-01  -4.41721e-01  -1.00000e+00  1.71347e-04  
4.41619e-01  1.32486e+00  3.00000e+00  1.02171e-04  
4.41371e-01  -4.41371e-01  -1.00000e+00  2.48036e-04  
4.41199e-01  -4.41199e-01  -1.00000e+00  1.71348e-04  
4.41097e-01  1.32329e+00  3.00000e+00  1.02171e-04  
4.40849e-01  -4.40849e-01  -1.00000e+00  2.48041e-04  
4.40678e-01  -4.40678e-01  -1.00000e+00  1.71350e-04  
4.40576e-01  1.32173e+00  3.00000e+00  1.02171e-04  
4.40328e-01  -4.40328e-01  -1.00000e+00  2.48046e-04  
4.40156e-01  -4.40156e-01  -1.00000e+00  1.71352e-04  
4.40054e-01  1.32016e+00  3.00000e+00  1.02171e-04  
4.39806e-01  -4.39806e-01  -1.00000e+00  2.48051e-04  
4.39635e-01  -4.39635e-01  -1.00000e+00  1.71353e-04  
4.39533e-01  1.31860e+00  3.00000e+00  1.02171e-04  
4.39285e-01  -4.39285e-01  -1.00000e+00  2.48055e-04  
4.39113e-01  -4.39113e-01  -1.00000e+00  1.71355e-04  
4.39011e-01  1.31703e+00  3.00000e+00  1.02171e-04  
4.38763e-01  -4.38763e-01  -1.00000e+00  2.48060e-04  
4.38592e-01  -4.38592e-01  -1.00000e+00  1.71357e-04  
4.38489e-01  1.31547e+00  3.00000e+00  1.02171e-04  
4.38241e-01  -4.38241e-01  -1.00000e+00  2.48065e-04  
4.38070e-01  -4.38070e-01  -1.00000e+00  1.71358e-04  
4.37968e-01  1.31390e+00  3.00000e+00  1.02171e-04  
4.37720e-01  -4.37720e-01  -1.00000e+00  2.48069e-04  
4.37548e-01  -4.37548e-01  -1.00000e+00  1.71360e-04  
4.37446e-01  1.31234e+00  3.00000e+00  1.02171e-04  
4.37198e-01  -4.37198e-01  -1.00000e+00  2.48073e-04  
4.37027e-01  -4.37027e-01  -1.00000e+00  1.71361e-04  
4.36925e-01  1.31077e+00  3.00000e+00  1.02171e-04  
4.36677e-01  -4.36677e-01  -1.00000e+00  2.48078e-04  
4.36505e-01  -4.36505e-01  -1.00000e+00  1.71363e-04  
4.36403e-01  1.30921e+00  3.00000e+00  1.02171e-04  
4.36155e-01  -4.36155e-01  -1.00000e+00  2.48082e-04  
4.35984e-01  -4.35984e-01  -1.00000e+00  1.71364e-04  
4.35881e-01  1.30764e+00  3.00000e+00  1.02171e-04  
